Campaign_No,Campaign_ID,Campaign_Name,Brand,Agent_Status,Start date,Date,Channel,Region,Gender,Age,CTR (%),CPC (_),RoAS,Reach,Frequency (x),Conversion,CPA (_),Conversion Rate (%),Engagement Rate (%),Campaign_Ideation_Time (days),AB_Test_Completion (days),Creative_Refresh_Time (days),Budget_Reallocation_Time (hrs),Optimization_Response_Time (mins),Personalization_Deployment_Time (hrs),Alert_Type,Threshold_Triggered,Auto_Action_Taken,Approval_Status,Business_Impact (_/%),Alert_Timestamp,Pre_Agent_Value,Post_Agent_Value,Improvement (%),Industry_Avg,Vs_Industry (%),Agent_Automated (%),Auto_Optimizations_Today,Avg_Response_Time (mins),Competitor_Share_of_Voice (%),Competitor_Action_Flag,Sentiment_Score (-1 to +1),Top_Consumer_Keyword,Media_Spend (_),Cost_Per_Engagement (_),Drop_off_Cart (%),Bounce_Rate (%),Seasonality_Flag,Influencer_Collaboration_Flag,Regulatory_Risk_Flag,Crisis_Alert_Flag,Brand_Awareness_Lift (%),Net_Promoter_Score (NPS),Forecasted_Conversions (7d),Forecasted_RoAS (7d),Agent_Recommendation_Flag
Campaign 29,CMP-0928,Premium Campaign Summer,Brand X Premium,Manual,2025-01-22,2025-01-23,Google Ads,East,Female,52,2.14,11.66,2.99,488930,1.58,320,602.35,1.94,5.43,10,13,9,6.1,75,5.1,Personalization Match Rate Drop,CTR < 2%,None,Pending,0.09,2025-01-23 01:40:00,1.02,1.08,5.88,2,-46,11.45,2,108,47,N,-0.22,Savings,4570102.7,172.14,0.07,98.37,Regular,N,N,Y,14.97,-44,339,3.21,Optimize
Campaign 26,CMP-0929,Classic Campaign Promo,Brand X Classic,Manual,2025-06-06,2025-06-06,LinkedIn,Metro Cities,Male,32,1.39,14.84,2.06,468917,2.05,191,1038.1,1.43,1.91,11,8,10,11.5,126,7.7,RoAS Below Target Threshold,High CPA,Content Fallback,Pending,0.01,2025-06-06 09:25:00,2.78,3.05,9.71,2.69,13.38,8.84,3,69,49.23076923,Y,-0.27,Festive,5597638.21,624.99,0.05,98.3,Off-season,N,N,Y,14.93,-32,226,2.25,Optimize
Campaign 22,CMP-0930,Classic Campaign Festive,Brand X Classic,Agent,2025-06-01,2025-06-03,Instagram,East,All,53,3.664,7.26,5.38,219810.4,3.34,266,258.33,2.82,6.68,3,4,2,1.1,26,1,Frequency Cap Approaching,High CPA,Bid Reduction,Approved,0.23,2025-06-03 14:34:00,2.655,5.38,102.64,2.49,-41.37,70,5,11,58.70230769,N,0.21,Digital,557109.85,288.8,0.39,17.58,Holiday,N,N,Y,21.568,19.74761905,302,5.45,Scale Up
Campaign 43,CMP-0931,Core Campaign Festive,Brand X Core,Agent,2025-01-15,2025-02-06,YouTube,Tier-3,Male,50,3.94,6.51,5.88,223815,3.5,2537.714286,283.39,9.355428571,12.99371429,4,2,4,3.3,14,3.6,Performance Anomaly - Positive,RoAS < 1.2,Bid Reduction,Approved,323248.3206,2025-02-06 18:01:00,2.846428571,5.88,106.57,1.61,132.3,73.99,9,13,48.70230769,Y,0.23,Festive,1255969.78,435.01,0.45,17.57,Off-season,Y,N,Y,20.41371429,19.74761905,813,6.07,Scale Up
Campaign 28,CMP-0932,Classic Campaign Festive,Brand X Classic,Human_Approval,2025-06-09,2025-06-23,Google Ads,North,Male,54,3.015,6.19,4.475,352278,1.65,206.5,450.81,1.915,7.22,8,5,9.333333333,5.377777778,44,6.066666667,Performance Anomaly - Positive,None,Campaign Paused,Auto-resolved,0.21,2025-06-23 18:16:00,2.983333333,4.475,50,2.58,-13.18,45,3,24,34.91666667,Y,0.26,Digital,1001089.05,488.68,0.08,98.72,Regular,N,N,Y,20.65,-22.53333333,393,4.04,Scale Up
Campaign 9,CMP-0933,Classic Campaign Summer,Brand X Classic,Agent,2025-03-16,2025-03-25,Google Ads,East,Male,62,3.35,6.15,4.62,361864.8,1.88,723,169.18,3.64,7.696,5,2,2,2.6,21,1.7,None,RoAS < 1.2,Campaign Paused,Pending,-0.0585,2025-03-25 07:01:00,2.015,4.62,129.28,2.27,-13.66,73.61,6,7,47.16384615,N,0.22,NewLaunch,2104406.12,475.97,0.3,17.56,Off-season,N,N,Y,22.544,19.74761905,784,4.61,Scale Up
Campaign 10,CMP-0934,Core Campaign Festive,Brand X Core,Agent,2025-05-18,2025-05-29,YouTube,North,Male,39,3.488,8.03,5.184,428902,2.91,1610,215.38,3.73,3.69,4,3,5,1.6,25,2.2,RoAS Below Target Threshold,High CPA,Bid Reduction,Auto-resolved,0.56,2025-05-29 15:12:00,3.24,5.184,60,1.66,-19.28,70,11,15,76.84333333,Y,0.28,Savings,3000319.56,189.58,0.53,17.56,Festival,Y,Y,Y,20.176,19.74761905,766,5.21,Scale Up
Campaign 12,CMP-0935,Premium Campaign Launch,Brand X Premium,Human_Approval,2025-05-18,2025-06-04,Google Ads,Tier-2,Female,43,3.849642857,10.97,4.399285714,437386,3.27,3809.035714,664.8742857,12.23678571,15.04071429,8,9,13.80952381,7.1,64.23809524,11.4,None,High CPA,Bid Reduction,Auto-resolved,394832.2071,2025-06-04 04:49:00,2.932857143,4.399285714,50,2.32,61.53735714,45,1,41.23809524,39.78846154,Y,0.25,NewLaunch,5543816.84,1013.99,0.08,99.24,Holiday,N,N,Y,17.625,-18.01428571,327,3.52,Scale Up
Campaign 28,CMP-0936,Core Campaign Awareness,Brand X Core,Agent,2025-04-22,2025-05-03,LinkedIn,Metro Cities,All,46,4.179555556,9.37,5.14,407400,3.62,3025.066667,187.4,11.59644444,17.43377778,2,5,3,2.3,12,1.5,Frequency Cap Approaching,High CPA,Budget Reallocation,Pending,371227.8907,2025-05-03 12:25:00,2.646666667,5.14,94.21,2.8,63.46311111,77.11,12,5,49.47153846,Y,0.23,Savings,3728635.04,363.19,0.66,17.55,Festival,N,N,Y,19.74666667,19.74761905,1106,5.39,Scale Up
Campaign 35,CMP-0937,Classic Campaign Awareness,Brand X Classic,Agent,2025-06-03,2025-06-26,Google Ads,Tier-2,Male,53,3.985066667,8.11,5.72,266979,2.79,4705.76,278.8,12.14666667,14.33493333,5,4,8,3.2,15,3.3,Frequency Cap Approaching,High CPA,Budget Increased,Auto-resolved,425609.4672,2025-06-26 07:25:00,2.339666667,5.72,144.48,1.96,65.31,78.33,18,7,44.08692308,N,0.24,Festive,1855875.72,167.5,0.4,17.55,Off-season,N,N,Y,19.3856,19.74761905,917,6.28,Scale Up
Campaign 9,CMP-0938,Classic Campaign Summer,Brand X Classic,Agent,2025-06-18,2025-07-05,Google Ads,Pan-India,All,35,4.27712,8.41,4.01,336512,3.64,3830.528,369.02,10.51072,16.51584,1,3,2,3.3,21,2.9,None,High CPA,Campaign Paused,Pending,370453.351,2025-07-05 18:39:00,2.2244,4.01,80.27,2.42,47.52,73.34,7,15,64.85615385,N,0.23,Digital,3129205.7,188.24,0.45,17.55,Festival,N,N,Y,19.86624,19.74761905,846,4.12,Scale Up
Campaign 14,CMP-0939,Core Campaign Launch,Brand X Core,Human_Approval,2025-03-01,2025-03-27,LinkedIn,Pan-India,Female,21,4.397,9.27,4.7525,382094,2.66,3265.05,585.638,10.7535,16.795,3,8.222222222,6,3.2,53,6.6,Daily Budget Threshold Reached,High CPA,Bid Reduction,Approved,346147.942,2025-03-27 07:04:00,3.168333333,4.7525,50,3.27,42.57673333,45,9,29,43.25,Y,0.23,NewLaunch,3952848.57,487.98,0.07,98.42,Off-season,N,N,Y,18.014,-20.41,278,4.18,Scale Up
Campaign 16,CMP-0940,Premium Campaign Digital,Brand X Premium,Agent,2025-06-29,2025-07-11,YouTube,Tier-2,Female,29,4.278769231,9.95,4.119384615,420475,2.94,3193.846154,215.45,12.08553846,14.12984615,3,5,6,1.5,16,1.9,RoAS Below Target Threshold,High CPA,Budget Reallocation,Pending,273624.5631,2025-07-11 22:44:00,2.574615385,4.119384615,60,1.75,67.43,70,17,10,50.24076923,N,0.23,Savings,4416835.9,235,0.46,17.54,Off-season,Y,N,Y,19.97723077,19.74761905,1160,3.71,Scale Up
Campign 2,CMP-0941,Premium Campaign Promo,Brand X Premium,Manual,2025-04-08,2025-04-19,LinkedIn,East,All,35,1.89,12.96,3.43,155997,4.17,100,1593.3,0.82,3.7,10,11,15,5.2,160,8.9,Performance Anomaly - Positive,High CPA,Content Fallback,Approved,-0.05,2025-04-19 17:26:00,1.79,1.85,3.35,2.08,-11.06,1.35,1,105,46,N,-0.24,Discount,2307564.63,399.79,0.07,99.26,Holiday,N,N,Y,13.67,-20,106,3.63,Scale Up
Campaign 13,CMP-0942,Classic Campaign Festive,Brand X Classic,Agent,2025-01-12,2025-01-27,Facebook,Pan-India,Male,25,3.877538462,5.17,5.85,473919,4.45,2909.661538,127.07,9.316923077,15.47569231,5,5,3,3.8,26,1.9,RoAS Below Target Threshold,High CPA,Content Fallback,Auto-resolved,328916.6849,2025-01-27 10:17:00,2.522307692,5.85,131.93,1.66,104.82,79.85,5,15,54.85615385,Y,0.28,Discount,2682802.05,150.56,0.61,17.54,Holiday,N,N,Y,19.8,19.74761905,1089,5.56,Scale Up
Campaign 3,CMP-0943,Premium Campaign Summer,Brand X Premium,Agent,2025-02-06,2025-02-12,LinkedIn,East,All,35,2.8512,4.07,5.85,478858.24,1.99,780,125.72,3.24,7.04,2,4,3,0.7,21,3.3,None,CTR < 2%,Bid Reduction,Pending,0.4,2025-02-12 01:05:00,2.11,5.85,177.25,1.51,118.54,88.01,6,13,65.62538462,N,0.27,NewLaunch,2227936.94,101.78,0.18,17.54,Holiday,N,N,Y,22.9152,19.74761905,908,6.14,Scale Up
Campaign 7,CMP-0944,Premium Campaign Festive,Brand X Premium,Agent,2025-01-15,2025-01-20,LinkedIn,South,All,45,3.96,6.81,5.68,260756.8,3.57,512,170.86,3.99,5.932,2,5,2,2.2,24,2.2,RoAS Below Target Threshold,High CPA,None,Pending,0.188,2025-01-20 02:47:00,2.51,5.68,126.29,1.53,24.84,70.4,6,11,64.08692308,N,0.23,Digital,602453.39,643.68,0.81,17.54,Regular,N,N,Y,21.772,19.74761905,567,5.52,Scale Up
Campaign 46,CMP-0945,Classic Campaign Promo,Brand X Classic,Agent,2025-03-25,2025-04-20,LinkedIn,West,All,49,3.328,6.4,3.82,429584,3.69,1228,186.65,3.43,9.488,4,6,5,2.1,18,2.1,Frequency Cap Approaching,High CPA,None,Approved,0.1,2025-04-20 12:53:00,1.62,3.82,135.8,2.04,10.322,76.8,16,6,53.31769231,Y,0.22,NewLaunch,2403761.5,183.65,0.42,17.53,Holiday,N,Y,Y,22.864,19.74761905,1318,4.19,Scale Up
Campaign 1,CMP-0946,Premium Campaign Awareness,Brand X Premium,Human_Approval,2025-02-28,2025-03-17,YouTube,North,All,20,2.65,6.1,3.45,247776,3.4,538,253.12,2.41,5.35,4.666666667,6,5.333333333,5.7,45,3.8,RoAS Below Target Threshold,High CPA,Campaign Paused,Approved,-0.065,2025-03-17 15:42:00,2.3,3.45,50,1.64,60.37,45,5,31,59.01923077,Y,0.27,Festive,1813570.12,136.81,0.28,97.26,Festival,Y,N,Y,19.53,-35,605,3.19,Scale Up
Campaign 23,CMP-0947,Premium Campaign Festive,Brand X Premium,Human_Approval,2025-03-01,2025-03-04,YouTube,Tier-3,Male,31,3.31,6.87,4.269642857,275986,3.93,2379.107143,318.24,8.770714286,12.18160714,6,6,5,6.6,39,3.5,Frequency Cap Approaching,CTR < 2%,Campaign Paused,Auto-resolved,303045.3005,2025-03-04 14:23:00,2.846428571,4.269642857,50,2.94,32.70010714,45,7,30,59.91666667,Y,0.24,Savings,2066613.78,232.55,0.34,97.76,Holiday,Y,Y,Y,19.13785714,-21.21785714,852,4.38,Scale Up
Campaign 23,CMP-0948,Premium Campaign Festive,Brand X Premium,Human_Approval,2025-05-25,2025-06-14,Google Ads,Tier-2,Male,32,3.736,10.73,3.5095,181799,3.21,4411.65,683.8637778,11.3875,13.439,7,7.422222222,8,7.6,65.82222222,9.6,None,CTR < 2%,Content Fallback,Auto-resolved,399008.8755,2025-06-14 00:12:00,2.339666667,3.5095,50,1.52,58.55,45,2,42.13333333,58.5,N,0.26,Festive,1649658.09,183.31,0.03,99.38,Holiday,N,N,Y,18.174,-17,481,3.33,Scale Up
Campaign 43,CMP-0949,Core Campaign Digital,Brand X Core,Human_Approval,2025-04-18,2025-04-27,YouTube,North,Male,55,3.27,8.7,4.86,123196,3.05,274,354.34,2.99,3.96,6,6.666666667,5,3.1,56,6.066666667,None,High CPA,None,Pending,0.525,2025-04-27 00:07:00,3.24,4.86,50,3.33,-38.207,59.3,10,25,68.5,N,0.26,Discount,1314205.42,269.38,0.27,97.02,Holiday,Y,Y,Y,18.915,-21,298,2.96,Optimize
Campaign 37,CMP-0950,Premium Campaign Awareness,Brand X Premium,Agent,2025-05-10,2025-05-11,Instagram,West,Female,50,4.2,4.28,5.63,405293.6,3.76,488,180.86,2.872,5.6,3,4,3,2.5,25,1.6,Personalization Match Rate Drop,High CPA,Budget Increased,Pending,0.496,2025-05-11 12:10:00,2.43,5.63,131.69,1.88,17.55,78.44,13,5,48.70230769,N,0.26,Savings,578418.12,223.71,0.52,17.52,Off-season,Y,N,Y,22.408,19.74761905,517,5.74,Scale Up
Campaign 22,CMP-0951,Premium Campaign Launch,Brand X Premium,Agent,2025-02-26,2025-03-18,Google Ads,Tier-2,All,36,4.08128,9.44,5.96,188213.888,1.87,3352,302.25,9.48544,11.4912,4,5,3,2.8,27,1.8,Performance Anomaly - Positive,RoAS < 1.2,Budget Increased,Auto-resolved,314006.1446,2025-03-18 18:26:00,2.7608,5.96,115.88,3.46,44.1506,88.47,6,7,61.01,N,0.24,NewLaunch,1195899.78,376.6,0.14,17.51,Off-season,N,N,Y,20.16896,19.74761905,1185,6.5,Scale Up
Campaign 6,CMP-0952,Classic Campaign Launch,Brand X Classic,Agent,2025-05-12,2025-05-18,YouTube,Tier-3,Female,36,3.741419355,5.8,5.42,100809.3419,3.05,4181.780645,145.81,10.53058065,14.64464516,2,2,4,3.9,11,2.9,Performance Anomaly - Positive,High CPA,Budget Reallocation,Auto-resolved,367207.6444,2025-05-18 07:56:00,2.587741935,5.42,109.45,2.74,57.707,72.3,18,7,57.93307692,N,0.21,Festive,483751.32,116.31,0.57,17.51,Holiday,Y,N,Y,19.43122581,19.74761905,327,5.54,Scale Up
Campaign 36,CMP-0953,Core Campaign Digital,Brand X Core,Agent,2025-04-20,2025-05-10,YouTube,East,Female,60,3.27,6.975,4.288,448712,2.49,435,219.24,3.89,5.89,4,4,2,0.7,25,3.2,Frequency Cap Approaching,High CPA,Content Fallback,Auto-resolved,-0.09,2025-05-10 19:25:00,2.68,4.288,60,3.3,-15.15,70,17,7,50.24076923,N,0.25,Premium,1019331.72,125.73,0.35,17.5,Off-season,Y,N,Y,22.944,19.74761905,511,3.84,Scale Up
Campaign 13,CMP-0954,Premium Campaign Launch,Brand X Premium,Agent,2025-04-15,2025-05-06,Facebook,North,All,65,2.93,6.13,4.712,291716,2.23,241.2,202.26,3.04,6.61,2,5,6,2,12,1.3,Frequency Cap Approaching,High CPA,Budget Reallocation,Pending,0.25,2025-05-06 17:11:00,2.945,4.712,60,3.32,-3.92,89.38,10,13,46.39461538,N,0.28,Digital,598655.73,170.04,0.24,17.48,Off-season,N,N,Y,21.956,19.74761905,383,4.25,Scale Up
Campaign 44,CMP-0955,Premium Campaign Digital,Brand X Premium,Human_Approval,2025-06-01,2025-06-05,YouTube,Tier-3,Male,36,2.964642857,8.6,4.269642857,189967.7679,3.88,2379.107143,502.04,8.770714286,12.18160714,5,7.619047619,9,2.1,51,4.1,Performance Anomaly - Positive,RoAS < 1.2,Budget Increased,Approved,303045.3005,2025-06-05 17:15:00,2.846428571,4.269642857,50,3.38,32.70010714,47.85,7,39,61.32692308,Y,0.22,Digital,750077.4,364.66,0.15,98.09,Regular,N,N,Y,19.13785714,-21.21785714,1137,4.12,Scale Up
Campign 2,CMP-0956,Core Campaign Festive,Brand X Core,Agent,2025-01-10,2025-01-25,Facebook,Tier-3,Female,26,4.3232,5.39,5.03,108421.8514,3.56,3163.84,143.98,10.54857143,12.85988571,5,6,2,2.8,23,3,None,CTR < 2%,None,Approved,413159.3211,2025-01-25 05:03:00,3.026571429,5.03,66.19,2.08,46.15,76.17,6,13,46.39461538,N,0.25,Premium,322709.82,91.8,0.36,17.48,Festival,N,N,Y,19.52502857,19.74761905,844,5.16,Scale Up
Campaign 39,CMP-0957,Core Campaign Launch,Brand X Core,Human_Approval,2025-01-23,2025-02-09,Facebook,Tier-2,Male,45,4.7562,11.19,4.1292,233518,3.93,3888.48,637.37,9.7452,16.302,5,7,5,2.3,36,3.8,Daily Budget Threshold Reached,High CPA,Budget Reallocation,Auto-resolved,435308.8758,2025-02-09 18:17:00,2.7528,4.1292,50,2.4,51.18828,45,4,21,58.25,Y,0.21,Discount,2156499.2,191.99,0.16,98.4,Off-season,N,N,Y,18.6642,-5,348,2.88,Optimize
Campaign 29,CMP-0958,Core Campaign Digital,Brand X Core,Human_Approval,2025-01-10,2025-01-20,YouTube,West,Male,18,2.4675,9.81,3.16,489408.75,3.86,239.25,798.87,2.1825,3.3075,7,5.666666667,12.66666667,5.6,68.66666667,5.8,None,High CPA,Budget Reallocation,Auto-resolved,0.5175,2025-01-20 12:54:00,2.06,3.16,53.4,1.51,74.17,45,4,65,45.17307692,N,0.26,Savings,1368869.57,469.44,0.06,99.04,Festival,Y,N,Y,21.705,-17,995,3.2,Scale Up
Campaign 20,CMP-0959,Classic Campaign Digital,Brand X Classic,Agent,2025-04-09,2025-04-22,Google Ads,Tier-3,Female,62,4.2,9.63,4.71,128092,2.52,4130.941935,194.28,11.26812903,15.49832258,2,2,3,1,13,2.8,None,RoAS < 1.2,None,Approved,368828.5817,2025-04-22 20:37:00,2.398064516,4.71,96.41,2.29,50.15106452,86.73,20,9,62.67666667,Y,0.28,Digital,1283768.14,198.85,0.78,17.48,Off-season,N,N,Y,19.52,19.74761905,781,4.48,Scale Up
Campaign 42,CMP-0960,Premium Campaign Digital,Brand X Premium,Agent,2025-02-05,2025-02-26,Facebook,Metro Cities,Male,56,4,6.58,5.13,123605,2.05,3381.866667,143.11,7.563428571,18.06857143,1,6,7,1.5,14,1.9,Performance Anomaly - Positive,CTR < 2%,Budget Reallocation,Approved,388200.7909,2025-02-26 14:40:00,2.926190476,5.13,75.31,1.8,93.89,83.93,9,7,62.54846154,N,0.25,Premium,671640.65,468.43,0.53,17.48,Holiday,N,N,Y,19.56419048,19.74761905,544,5.08,Scale Up
Campaign 38,CMP-0961,Classic Campaign Launch,Brand X Classic,Human_Approval,2025-04-14,2025-04-25,Instagram,East,Female,63,2.66,9.14,3.95,398396,4.02,389,516.66,1.77,4.395,5,6.666666667,8.888888889,5.8,49,5.5,Personalization Match Rate Drop,High CPA,Campaign Paused,Approved,0.625,2025-04-25 21:03:00,2.633333333,3.95,50,2.59,3.09,56.43,7,27,35.94230769,Y,0.21,NewLaunch,2406704.17,306.99,0.21,98.3,Off-season,Y,N,Y,21.225,-6,462,2.86,Optimize
Campaign 46,CMP-0962,Classic Campaign Festive,Brand X Classic,Agent,2025-03-27,2025-04-21,YouTube,Metro Cities,All,55,4.271483871,5.5,4.03,145051,2.85,3733.316129,145.33,12.10374194,14.1403871,3,2,6,3.6,23,2.5,Performance Anomaly - Positive,RoAS < 1.2,Budget Increased,Pending,285444.464,2025-04-21 17:03:00,2.410322581,4.03,67.2,1.77,40.38177419,84.57,9,15,65.62538462,Y,0.24,Premium,811831,124.37,0.45,17.48,Off-season,Y,N,Y,19.52103226,19.74761905,627,4.29,Scale Up
Campaign 12,CMP-0963,Premium Campaign Awareness,Brand X Premium,Agent,2025-03-05,2025-03-23,Instagram,West,Female,32,3.32,7.16,5.93,429192,2.6,1063,153.33,4.67,5.6,1,6,8,0.8,30,2.3,Frequency Cap Approaching,RoAS < 1.2,Campaign Paused,Pending,0.496,2025-03-23 23:28:00,2.43,5.93,144.03,3.34,12.844,76.06,7,9,71.77923077,Y,0.24,Discount,3146515.97,191.92,0.34,17.47,Festival,N,N,Y,22.408,19.74761905,1192,5.8,Scale Up
Campaign 6,CMP-0964,Core Campaign Promo,Brand X Core,Agent,2025-05-14,2025-06-04,LinkedIn,South,Female,21,3.888,5.63125,5.37,469478.4,3.24,1029,220.24,3.03,5.68,3,3,6,2,27,2.5,Daily Budget Threshold Reached,High CPA,Bid Reduction,Auto-resolved,0.368,2025-06-04 18:17:00,2.36,5.37,127.54,1.86,-2.15,70,13,13,66.01,N,0.22,Discount,2554724.87,154.92,0.31,17.46,Holiday,N,N,Y,23.024,19.74761905,1139,5.16,Scale Up
Campaign 46,CMP-0965,Classic Campaign Digital,Brand X Classic,Human_Approval,2025-03-14,2025-04-02,YouTube,West,Male,23,2.89,9.81,3.09,489408.75,3.78,398,474.57,2.1825,4.42,6,5.666666667,9,3.3,40,4.4,Performance Anomaly - Positive,RoAS < 1.2,Content Fallback,Approved,0.5175,2025-04-02 18:42:00,2.06,3.09,50,2.49,29.72,54.61,9,41,47.41666667,Y,0.25,Festive,1805573.41,239.57,0.35,97.68,Regular,Y,N,Y,21.705,-24,443,2.52,Optimize
Campaign 21,CMP-0966,Core Campaign Digital,Brand X Core,Agent,2025-01-25,2025-02-14,YouTube,South,All,22,3.14,7.07,3.8784,468269.44,1.88,213.44,275.92,2.58,6.1632,4,2,7,3.7,11,3.5,Personalization Match Rate Drop,High CPA,Budget Reallocation,Pending,0.29,2025-02-14 20:01:00,2.424,3.8784,60,1.7,-12.94,76.18,20,12,68.70230769,N,0.22,Digital,443207.68,139.51,0.13,17.45,Festival,N,N,Y,22.4384,19.74761905,779,4.1,Scale Up
Campaign 30,CMP-0967,Premium Campaign Awareness,Brand X Premium,Human_Approval,2025-03-05,2025-04-03,Facebook,South,Male,25,3.225,6.033333333,4.29,694813.5,2.12,298.5,567.19,1.49,7.185,7,7,10,2.5,34,4.8,Daily Budget Threshold Reached,High CPA,Content Fallback,Approved,0.44,2025-04-03 06:27:00,1.55,4.29,176.77,2.46,7.72,45,10,23,56.71153846,N,0.24,Festive,502528.41,535.96,0.09,98.67,Holiday,N,Y,Y,22.365,-10,1137,4.14,Scale Up
Campaign 40,CMP-0968,Premium Campaign Awareness,Brand X Premium,Agent,2025-06-20,2025-06-30,Facebook,Tier-3,All,55,4,6.57,5.45,244478,1.83,3694.4,135.61,10.65,15.448,3,5,8,2.9,20,1.6,Daily Budget Threshold Reached,None,Bid Reduction,Approved,316491.8527,2025-06-30 15:38:00,3.036666667,5.45,79.47,2.71,45.56933333,88.86,19,12,71.01,N,0.24,Premium,1613505.69,343.74,0.46,17.45,Holiday,N,N,Y,19.84666667,19.74761905,917,5.62,Scale Up
Campaign 16,CMP-0969,Classic Campaign Summer,Brand X Classic,Agent,2025-01-21,2025-02-04,Facebook,North,Female,20,3.2,8.45,4.14,422684,3.51,1339,212.85,3.97,8.328,5,4,6.5625,3.8,29,1.7,Frequency Cap Approaching,High CPA,Campaign Paused,Approved,0.424,2025-02-04 15:21:00,1.895,4.14,118.47,2.67,-47.1185,70,5,10,54.08692308,N,0.28,Savings,2848683.14,211.28,0.63,17.45,Festival,N,N,Y,22.8,19.74761905,1156,4.1,Scale Up
Campaign 40,CMP-0970,Classic Campaign Festive,Brand X Classic,Manual,2025-02-27,2025-03-28,YouTube,Tier-2,All,18,1.53,11.13,2.77,84500,3.4,39,1254.27,0.91,1.12,15,12,11,10.4,141,7.8,RoAS Below Target Threshold,High CPA,Budget Increased,Auto-resolved,-0.13,2025-03-28 09:56:00,2.25,2.47,9.78,2.37,4.22,0.27,3,91,34,N,-0.28,Savings,771146.75,814.82,0.05,99.12,Off-season,Y,N,Y,12.97,-32,44,2.93,Optimize
Campaign 32,CMP-0971,Core Campaign Promo,Brand X Core,Agent,2025-04-05,2025-04-09,Instagram,Tier-3,All,49,3.49,5.27,4.14,250950,3.95,3483.933333,206.7,9.588,12.08733333,1,5,7,1.7,10,3.4,None,High CPA,Content Fallback,Pending,367972.892,2025-04-09 20:21:00,2.43,4.14,70.37,1.66,135.54,70,16,10,61.77923077,N,0.21,Discount,1377207.6,102.77,0.51,17.44,Holiday,Y,N,Y,20.08733333,19.74761905,976,3.93,Scale Up
Campaign 15,CMP-0972,Premium Campaign Awareness,Brand X Premium,Agent,2025-03-03,2025-03-22,YouTube,West,Female,36,2.832,6.91,5.53,540057.6,3.21,392,311.97,2.792,3.63,3,4,6,0.7,15,3,None,High CPA,Bid Reduction,Pending,0.144,2025-03-22 06:28:00,3.07,5.53,80.13,2.49,7.63,83,6,7,72.67666667,Y,0.27,Savings,1704100.2,341.76,0.22,17.43,Regular,Y,N,Y,23.064,19.74761905,462,5.48,Scale Up
Campaign 11,CMP-0973,Core Campaign Digital,Brand X Core,Agent,2025-06-01,2025-06-06,Google Ads,Pan-India,Female,21,4.366,7.69,5.57,83100,3.05,3988.533333,201.05,13.44933333,16.24533333,1,6,7,3.2,27,3.7,RoAS Below Target Threshold,CTR < 2%,Budget Increased,Approved,390622.1407,2025-06-06 10:31:00,2.725833333,5.57,104.34,1.72,47.18025,85.69,5,7,62.54846154,Y,0.27,Savings,551341.7,173.68,0.36,17.43,Off-season,N,Y,Y,19.43133333,19.74761905,751,5.86,Scale Up
Campaign 42,CMP-0974,Core Campaign Summer,Brand X Core,Agent,2025-05-28,2025-06-15,Instagram,South,All,65,4.01,8.76,4.133333333,395090.1333,3.61,1073,177.71,4.93,6.165333333,5,2,2,3.1,11,1.9,None,High CPA,None,Approved,-0.017333333,2025-06-15 13:00:00,2.583333333,4.133333333,60,1.93,58.03,75.57,15,15,46.39461538,N,0.25,Savings,1061680.04,271.56,1.02,17.43,Festival,N,N,Y,22.44266667,19.74761905,1177,3.86,Scale Up
Campaign 13,CMP-0975,Premium Campaign Promo,Brand X Premium,Agent,2025-04-14,2025-04-15,Facebook,Metro Cities,Female,46,4.495333333,9.17,4.445333333,421845,1.83,5125.066667,279.72,10.74133333,17.594,2,3,2,3.8,14,1,Personalization Match Rate Drop,High CPA,None,Approved,449667.5973,2025-04-15 09:50:00,2.778333333,4.445333333,60,3.05,38.87325,71.84,16,9,47.93307692,N,0.25,Premium,3578524.79,311.88,0.23,17.42,Festival,N,N,Y,19.01066667,19.74761905,921,3.8,Scale Up
Campaign 26,CMP-0976,Premium Campaign Digital,Brand X Premium,Agent,2025-04-15,2025-05-06,LinkedIn,Pan-India,Male,18,4.533333333,7.17,4.525714286,160496,3.16,4074.438095,174.22,12.7832381,14.40457143,1,2,7,0.6,11,2.1,Frequency Cap Approaching,High CPA,Campaign Paused,Pending,326199.6891,2025-05-06 17:45:00,2.828571429,4.525714286,60,2.06,45.02766667,70,8,10,54.08692308,Y,0.23,Savings,1191329.09,298.1,0.65,17.41,Festival,N,N,Y,19.22133333,19.74761905,898,4.21,Scale Up
Campaign 11,CMP-0977,Classic Campaign Digital,Brand X Classic,Manual,2025-03-29,2025-04-17,Google Ads,Pan-India,Male,35,2.18,9.86,2.89,136019,3.13,76,1204.09,0.82,1.99,15,13,14,7.9,106,10.3,None,High CPA,Campaign Paused,Auto-resolved,0.04,2025-04-17 15:03:00,1.91,2.09,9.42,3.32,-37.05,6.95,3,108,53,N,-0.27,NewLaunch,1147101.12,423.79,0.07,99.03,Festival,N,Y,Y,13.51,-39,85,2.98,Optimize
